"","player","name","state","points","rating","avg_opp"
"1",1,5,"ON","6.0",1794,1605
"2",2,8,"MI","6.0",1553,1469
"3",3,11,"MI","6.0",1384,1564
"4",4,14,"MI","5.5",1716,1574
"5",5,17,"MI","5.5",1655,1501
"6",6,20,"OH","5.0",1686,1519
"7",7,23,"MI","5.0",1649,1372
"8",8,26,"MI","5.0",1641,1468
"9",9,29,"ON","5.0",1411,1523
"10",10,32,"MI","5.0",1365,1554
"11",11,35,"MI","4.5",1712,1468
"12",12,38,"MI","4.5",1663,1506
"13",13,41,"MI","4.5",1666,1498
"14",14,44,"MI","4.5",1610,1515
"15",15,47,"MI","4.5",1220,1484
"16",16,50,"MI","4.0",1604,1386
"17",17,53,"MI","4.0",1629,1499
"18",18,56,"MI","4.0",1600,1480
"19",19,59,"MI","4.0",1564,1426
"20",20,62,"MI","4.0",1595,1411
"21",21,65,"ON","4.0",1563,1470
"22",22,68,"MI","4.0",1555,1300
"23",23,71,"ON","4.0",1363,1214
"24",24,74,"MI","4.0",1229,1357
"25",25,77,"MI","3.5",1745,1363
"26",26,80,"ON","3.5",1579,1507
"27",27,83,"MI","3.5",1552,1222
"28",28,86,"MI","3.5",1507,1522
"29",29,89,"MI","3.5",1602,1314
"30",30,92,"ON","3.5",1522,1144
"31",31,95,"MI","3.5",1494,1260
"32",32,98,"ON","3.5",1441,1379
"33",33,101,"MI","3.5",1449,1277
"34",34,104,"MI","3.5",1399,1375
"35",35,107,"MI","3.5",1438,1150
"36",36,110,"MI","3.5",1355,1388
"37",37,113,"MI","3.5",980,1385
"38",38,116,"MI","3.0",1423,1539
"39",39,119,"MI","3.0",1436,1430
"40",40,122,"MI","3.0",1348,1391
"41",41,125,"MI","3.0",1403,1248
"42",42,128,"MI","3.0",1332,1150
"43",43,131,"MI","3.0",1283,1107
"44",44,134,"MI","3.0",1199,1327
"45",45,137,"MI","3.0",1242,1152
"46",46,140,"MI","3.0",377,1358
"47",47,143,"MI","2.5",1362,1392
"48",48,146,"MI","2.5",1382,1356
"49",49,149,"MI","2.5",1291,1286
"50",50,152,"MI","2.5",1056,1296
"51",51,155,"MI","2.5",1011,1356
"52",52,158,"MI","2.5",935,1495
"53",53,161,"MI","2.0",1393,1345
"54",54,164,"MI","2.0",1270,1206
"55",55,167,"MI","2.0",1186,1406
"56",56,170,"MI","2.0",1153,1414
"57",57,173,"MI","2.0",1092,1363
"58",58,176,"MI","2.0",917,1391
"59",59,179,"MI","2.0",853,1319
"60",60,182,"MI","1.5",967,1330
"61",61,185,"ON","1.5",955,1327
"62",62,188,"MI","1.0",1530,1186
"63",63,191,"MI","1.0",1175,1350
"64",64,194,"MI","1.0",1163,1263
